path:mmu05321	Inflammatory bowel disease (IBD) - Mus musculus (mouse)
path:mmu05322	Systemic lupus erythematosus - Mus musculus (mouse)
path:mmu05323	Rheumatoid arthritis - Mus musculus (mouse)
path:mmu05330	Allograft rejection - Mus musculus (mouse)
path:mmu05332	Graft-versus-host disease - Mus musculus (mouse)
path:mmu05340	Primary immunodeficiency - Mus musculus (mouse)
path:mmu05410	Hypertrophic cardiomyopathy (HCM) - Mus musculus (mouse)
path:mmu05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Mus musculus (mouse)
path:mmu05414	Dilated cardiomyopathy (DCM) - Mus musculus (mouse)
path:mmu05416	Viral myocarditis - Mus musculus (mouse)
path:mmu05418	Fluid shear stress and atherosclerosis - Mus musculus (mouse)
